"teryt","kobiety","mezczyzni"
"0201",9135,12310
"0202",11010,14145
"0203",8570,11314
"0204",3513,5103
"0205",5052,7126
"0206",7508,9334
"0207",4786,6514
"0208",18032,23227
"0209",5767,7692
"0210",5918,8104
"0211",10002,13063
"0212",4744,6636
"0213",3492,5076
"0214",11742,15104
"0215",7423,9788
"0216",6129,8537
"0217",4328,6050
"0218",4792,6282
"0219",16431,21642
"0220",8942,11997
"0221",6225,8093
"0222",4179,5641
"0223",16103,19340
"0224",7568,9985
"0225",9508,13038
"0226",4495,6309
"0261",9473,10933
"0262",11169,13417
"0264",98546,104303
"0265",12333,14934
"0401",5819,7832
"0402",7606,10688
"0403",11926,15507
"0404",5530,7163
"0405",4590,6501
"0406",3817,5595
"0407",15495,20406
"0408",6719,10012
"0409",4458,6094
"0410",8748,11779
"0411",3743,5707
"0412",4001,5915
"0413",4073,5839
"0414",9647,13087
"0415",11098,14414
"0416",4730,6728
"0417",3604,5080
"0418",8099,12236
"0419",6996,9663
"0461",40701,46037
"0462",9818,11786
"0463",25028,26168
"0464",11682,13889
"0601",10634,16610
"0602",9433,14087
"0603",7397,11526
"0604",5778,8908
"0605",4085,6661
"0606",5892,9069
"0607",8566,12382
"0608",7911,11887
"0609",14563,20150
"0610",4949,7073
"0611",9331,14444
"0612",5426,7958
"0613",3177,4939
"0614",10729,14403
"0615",5415,8381
"0616",4585,7363
"0617",6472,8689
"0618",7585,11752
"0619",3610,5479
"0620",9944,15632
"0661",6035,7305
"0662",6324,7635
"0663",37464,37232
"0664",6598,7797
"0801",7711,10350
"0802",5641,7246
"0803",5750,7970
"0804",7814,9280
"0805",5432,7018
"0806",5139,7185
"0807",3518,5116
"0808",5379,6686
"0809",7270,9580
"0810",7303,9506
"0811",9480,11862
"0812",4020,5171
"0861",12452,13555
"0862",14168,14856
"1001",8236,10993
"1002",7099,9486
"1003",4858,6760
"1004",3579,5260
"1005",6521,9163
"1006",6212,7691
"1007",5921,9211
"1008",10014,11807
"1009",3863,6103
"1010",7704,11303
"1011",3509,5388
"1012",8762,13160
"1013",4061,5901
"1014",11361,16031
"1015",3225,5001
"1016",9356,12399
"1017",6920,9698
"1018",4112,6089
"1019",6517,8657
"1020",11749,13695
"1021",2715,3670
"1061",63351,64015
"1062",6732,7996
"1063",3889,4614
"1201",10555,14247
"1202",9338,13114
"1203",11259,15258
"1204",6343,8887
"1205",10768,15230
"1206",28650,36822
"1207",13824,18862
"1208",4280,6688
"1209",13411,17918
"1210",22332,30175
"1211",20966,26993
"1212",9394,13380
"1213",15105,19654
"1214",3826,6003
"1215",8686,12044
"1216",20630,28638
"1217",7817,9466
"1218",15748,21428
"1219",13427,16979
"1261",113104,112763
"1262",9372,10713
"1263",12111,14173
"1401",2815,4497
"1402",7733,11618
"1403",10014,14784
"1404",4298,6079
"1405",9955,11862
"1406",8200,11712
"1407",5176,7820
"1408",12317,14745
"1409",2811,4732
"1410",2788,4457
"1411",3817,6271
"1412",14932,20102
"1413",6307,9430
"1414",7938,10689
"1415",7276,12345
"1416",6336,9549
"1417",12110,14690
"1418",21349,24052
"1419",10190,15183
"1420",8100,12145
"1421",18505,20759
"1422",4444,7180
"1423",3559,5503
"1424",4700,7011
"1425",13746,20094
"1426",7148,11310
"1427",4601,7172
"1428",8027,11110
"1429",4711,7532
"1430",3289,5462
"1432",12882,15396
"1433",5787,9220
"1434",26540,32277
"1435",6743,9997
"1436",3209,5149
"1437",3223,4879
"1438",7830,9759
"1461",4639,5754
"1462",10755,12329
"1463",16521,20222
"1464",7589,8983
"1465",262552,250550
"1601",9107,12233
"1602",4425,6369
"1603",7905,9937
"1604",5777,7834
"1605",6042,7879
"1606",3925,5106
"1607",12917,17153
"1608",6273,8065
"1609",11484,14516
"1610",5709,7378
"1611",6471,8580
"1661",15037,15550
"1801",2392,3222
"1802",6677,9140
"1803",12470,17356
"1804",12546,16399
"1805",10888,14996
"1806",6500,9339
"1807",10476,14719
"1808",6660,9421
"1809",5312,8016
"1810",7678,10327
"1811",12256,17225
"1812",6619,9823
"1813",7326,10803
"1814",7688,10428
"1815",6869,9532
"1816",16922,22683
"1817",9294,12325
"1818",10385,14065
"1819",5709,8368
"1820",5113,7376
"1821",2769,3790
"1861",4804,5506
"1862",7137,7906
"1863",23966,24776
"1864",4623,5776
"2001",5615,7847
"2002",13014,18384
"2003",4530,7133
"2004",4405,6697
"2005",2704,3983
"2006",3538,5776
"2007",4238,7134
"2008",3345,5327
"2009",1928,3024
"2010",4128,6435
"2011",5479,8780
"2012",3121,5097
"2013",4780,8246
"2014",3727,6033
"2061",33760,37035
"2062",6034,7647
"2063",7044,8122
"2201",8126,11226
"2202",9685,12883
"2203",5841,7996
"2204",12685,15955
"2205",13397,17378
"2206",7200,9944
"2207",8683,11629
"2208",6669,8735
"2209",6713,8876
"2210",3820,5426
"2211",8897,11490
"2212",10142,14169
"2213",12309,16716
"2214",12035,16053
"2215",21060,26977
"2216",4481,6316
"2261",57135,60169
"2262",22914,24396
"2263",10465,11977
"2264",4466,4810
"2401",13234,17737
"2402",15794,20060
"2403",17471,21995
"2404",10876,16246
"2405",10320,13694
"2406",6918,10471
"2407",6754,9495
"2408",8907,11637
"2409",5598,7837
"2410",10132,13200
"2411",10715,13325
"2412",6424,8898
"2413",12890,17102
"2414",5044,7045
"2415",12885,17448
"2416",9297,13452
"2417",15326,20762
"2461",19575,22123
"2462",17640,22175
"2463",12334,14942
"2464",21215,24872
"2465",10927,14456
"2466",19172,23990
"2467",7794,10768
"2468",7724,10029
"2469",35722,40358
"2470",7147,9055
"2471",5177,6778
"2472",13195,16949
"2473",12213,16223
"2474",7191,8621
"2475",19912,24969
"2476",5163,6453
"2477",12579,15731
"2478",18475,22570
"2479",5375,7054
"2601",6320,9682
"2602",7235,11046
"2603",3026,4876
"2604",19445,29318
"2605",6692,10670
"2606",4766,7617
"2607",9434,13421
"2608",3254,5317
"2609",7198,10339
"2610",6838,9718
"2611",7635,11561
"2612",6041,9342
"2613",3928,6343
"2661",20975,23695
"2801",5051,6806
"2802",3711,5208
"2803",5292,7055
"2804",5137,7251
"2805",9408,13060
"2806",5672,7815
"2807",7125,8969
"2808",5209,7042
"2809",3582,4988
"2810",4596,5968
"2811",2817,4004
"2812",4007,5786
"2813",3322,4826
"2814",11589,14318
"2815",8428,10752
"2816",5238,8020
"2817",5567,7616
"2818",2667,3723
"2819",2231,3430
"2861",12561,15044
"2862",15992,14989
"3001",4830,6419
"3002",8556,11962
"3003",15735,19996
"3004",7040,9379
"3005",5037,6995
"3006",7118,9328
"3007",7522,10853
"3008",5559,7792
"3009",7864,11682
"3010",11980,17653
"3011",7351,9724
"3012",7629,10340
"3013",5345,7188
"3014",3886,5419
"3015",7634,9983
"3016",6047,8139
"3017",15517,21088
"3018",5348,7456
"3019",13670,17927
"3020",6200,8670
"3021",43615,50628
"3022",5673,7753
"3023",5511,8149
"3024",9062,11630
"3025",5983,7985
"3026",6141,7909
"3027",7453,10585
"3028",7134,9839
"3029",5575,7501
